scorer,,,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven
bodyparts,,,L ear base,L ear base,R ear base,R ear base,Mid snout,Mid snout,Ext occipital protuberance,Ext occipital protuberance
coords,,,x,y,x,y,x,y,x,y
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img002.png,1378.0,704.0,1495.0,658.0,,,1440.0,674.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img018.png,1259.0,896.0,1312.0,773.0,1216.0,855.0,1288.0,835.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img036.png,1115.0,1058.0,1118.0,914.0,880.0,1016.0,1142.0,984.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img043.png,1094.0,1042.0,1105.0,918.0,855.0,1003.0,1107.0,984.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img050.png,1057.0,1021.0,1079.0,881.0,853.0,954.0,1077.0,945.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img062.png,,,1080.0,944.0,751.0,1017.0,1093.0,998.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img072.png,,,1097.0,949.0,708.0,1024.0,1099.0,1010.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img080.png,1036.0,1051.0,1065.0,916.0,845.0,952.0,1048.0,977.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img100.png,1016.0,1012.0,1061.0,884.0,806.0,843.0,1046.0,943.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img107.png,1007.0,1013.0,1078.0,884.0,867.0,836.0,1038.0,945.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img115.png,1164.0,851.0,1334.0,845.0,1287.0,663.0,1240.0,839.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img116.png,1205.0,822.0,1372.0,838.0,1323.0,626.0,1285.0,824.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img122.png,,,1581.0,656.0,1499.0,420.0,1518.0,663.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img126.png,1524.0,525.0,1664.0,496.0,1536.0,307.0,1601.0,519.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img129.png,1532.0,448.0,1677.0,443.0,1536.0,239.0,1614.0,450.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img131.png,,,1676.0,364.0,1532.0,204.0,1629.0,383.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img134.png,,,1730.0,259.0,1605.0,110.0,1668.0,275.0
labeled-data,Excellent-vlc-record-2025-12-02-23h56m49s-D10_S20250917132808_E20250917133629.mp4-,img139.png,1780.0,28.0,1883.0,70.0,,,1832.0,54.0
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img000.png,1217.0,990.0,1166.0,870.0,925.0,969.0,1207.0,923.0
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img020.png,1214.0,987.0,1156.0,862.0,918.0,969.0,1207.0,917.0
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img030.png,1217.0,977.0,1165.0,853.0,928.0,962.0,1209.0,922.0
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img035.png,1221.0,981.0,1170.0,853.0,928.0,967.0,1214.0,907.0
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img040.png,1232.0,969.0,1177.0,840.0,931.0,979.0,1222.0,895.0
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img051.png,1401.0,1106.0,1275.0,1055.0,,,1338.0,1076.0
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img056.png,1441.0,1101.0,1322.0,1063.0,,,1380.0,1075.0
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img065.png,1567.0,1129.0,1431.0,1142.0,1476.0,1265.0,1509.0,1139.0
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img070.png,1566.0,1195.0,1434.0,1182.0,1426.0,1288.0,1507.0,1178.0
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img073.png,1561.0,1219.0,1436.0,1214.0,1414.0,1329.0,1517.0,1208.0
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img077.png,1583.0,1249.0,1453.0,1240.0,1435.0,1337.0,1533.0,1228.0
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img080.png,1635.0,1259.0,1504.0,1268.0,1537.0,1367.0,1574.0,1252.0
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img084.png,1742.0,1335.0,1609.0,1365.0,1637.0,1428.0,1684.0,1339.0
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img087.png,1747.0,1398.0,1614.0,1436.0,1675.0,1498.0,1686.0,1417.0
labeled-data,Excellent-vlc-record-2025-12-02-23h58m41s-D10_S20250917133629_E20250917134451.mp4-,img094.png,1788.0,1787.0,1657.0,1802.0,,,1726.0,1803.0
